"","start_week","week_num","year","age_group","n"
"496",2021-01-18,NA,NA,"18-49",2
"497",2021-01-18,NA,NA,"50-64",1
"498",2021-01-18,NA,NA,"65+",4
"499",2021-01-25,4,2021,"65+",1
"500",2021-01-25,NA,NA,"<1",29
"501",2021-01-25,NA,NA,"1-4",35
"502",2021-01-25,NA,NA,"5-17",34
"503",2021-01-25,NA,NA,"18-49",2
"504",2021-01-25,NA,NA,"50-64",1
"505",2021-01-25,NA,NA,"65+",3
"506",2021-02-01,5,2021,"5-17",1
"507",2021-02-01,NA,NA,"<1",40
"508",2021-02-01,NA,NA,"1-4",45
"509",2021-02-01,NA,NA,"5-17",34
"510",2021-02-01,NA,NA,"18-49",4
"511",2021-02-01,NA,NA,"50-64",1
"512",2021-02-01,NA,NA,"65+",5
"513",2021-02-08,NA,NA,"<1",58
"514",2021-02-08,NA,NA,"1-4",53
"515",2021-02-08,NA,NA,"5-17",58
"516",2021-02-08,NA,NA,"18-49",6
"517",2021-02-08,NA,NA,"50-64",2
"518",2021-02-08,NA,NA,"65+",5
"519",2021-02-15,NA,NA,"<1",51
"520",2021-02-15,NA,NA,"1-4",52
"521",2021-02-15,NA,NA,"5-17",50
"522",2021-02-15,NA,NA,"18-49",3
"523",2021-02-15,NA,NA,"50-64",3
"524",2021-02-15,NA,NA,"65+",1
"525",2021-02-22,NA,NA,"<1",55
"526",2021-02-22,NA,NA,"1-4",72
"527",2021-02-22,NA,NA,"5-17",83
"528",2021-02-22,NA,NA,"18-49",10
"529",2021-02-22,NA,NA,"50-64",2
"530",2021-02-22,NA,NA,"65+",2
"531",2021-03-01,9,2021,"5-17",1
"532",2021-03-01,NA,NA,"<1",65
"533",2021-03-01,NA,NA,"1-4",101
"534",2021-03-01,NA,NA,"5-17",84
"535",2021-03-01,NA,NA,"18-49",11
"536",2021-03-01,NA,NA,"50-64",5
"537",2021-03-01,NA,NA,"65+",5
"538",2021-03-08,NA,NA,"<1",96
"539",2021-03-08,NA,NA,"1-4",111
"540",2021-03-08,NA,NA,"5-17",84
"541",2021-03-08,NA,NA,"18-49",4
"542",2021-03-08,NA,NA,"50-64",3
"543",2021-03-08,NA,NA,"65+",7
"544",2021-03-15,NA,NA,"<1",108
"545",2021-03-15,NA,NA,"1-4",167
"546",2021-03-15,NA,NA,"5-17",96
"547",2021-03-15,NA,NA,"18-49",6
"548",2021-03-15,NA,NA,"50-64",4
"549",2021-03-15,NA,NA,"65+",2
"550",2021-03-15,NA,NA,NA,1
"551",2021-03-22,NA,NA,"<1",97
"552",2021-03-22,NA,NA,"1-4",115
"553",2021-03-22,NA,NA,"5-17",114
"554",2021-03-22,NA,NA,"18-49",8
"555",2021-03-22,NA,NA,"50-64",3
"556",2021-03-22,NA,NA,"65+",11
"557",2021-03-29,NA,NA,"<1",84
"558",2021-03-29,NA,NA,"1-4",98
"559",2021-03-29,NA,NA,"5-17",91
